RegionID,SizeRank,RegionName,RegionType,StateName,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,1/31/2021,2/28/2021,3/31/2021,4/30/2021,5/31/2021,6/30/2021
394753,64,"Knoxville, TN",Msa,TN,4262,4111,4174,4333,4541,4670,4808,4927,4964,4919,4754,4483,4221,4062,4166,4299,4482,4594,4613,4623,4564,4571,4483,4254,4002,3761,3746,3678,3712,3644,3539,3339,3182,3179,3136,2967,2729,2482,2376,2263,2327,2425
394653,65,"Greenville, SC",Msa,SC,5311,5138,5355,5515,5713,5735,5751,5748,5691,5602,5434,5163,4962,4825,5061,5245,5599,5879,6207,6418,6431,6301,6004,5624,5387,5283,5374,5393,5447,5331,5197,4957,4726,4593,4326,4087,,,,,,
394952,66,"Ventura, CA",Msa,CA,1394,1338,1445,1605,1827,2002,2157,2260,2306,2300,2172,1976,1818,1744,1835,1943,2106,2223,2330,2329,2245,2093,1944,1730,1594,1540,1620,1613,1653,1689,1773,1734,1662,1575,1453,1268,1107,1049,1119,1175,1242,1278
394318,67,"Allentown, PA",Msa,PA,3682,3450,3479,3655,3951,4241,4423,4486,4474,4466,4343,4041,3718,3494,3530,3664,3877,4045,4132,4154,4097,4002,3787,3470,3157,2939,2860,2581,2524,2626,2903,2948,2865,2833,2715,2475,2175,1909,1853,1929,2191,2378
394561,68,"El Paso, TX",Msa,TX,4424,4458,4512,4509,4424,4284,4207,4126,4051,3988,3941,3835,3740,3668,3703,3715,3697,3765,3832,3912,3852,3819,3748,3666,3594,3641,3722,3702,3616,3480,3332,3199,3061,3003,2694,2436,2195,2163,2157,2088,2056,1994
394367,69,"Baton Rouge, LA",Msa,LA,3851,3904,4131,4362,4627,4865,5044,5116,5021,4945,4838,4687,4580,4551,4739,4906,5057,5172,5242,5318,5263,5172,4983,4760,4625,4581,4700,4663,4665,4541,4462,4272,4059,3879,3657,3458,3314,3153,3109,2922,2845,2709
394521,70,"Dayton, OH",Msa,OH,2725,2603,2650,2777,2916,3056,3183,3292,3359,3399,3319,3089,2781,2541,2492,2489,2558,2638,2744,2803,2781,2754,2641,2423,2212,2062,2082,2052,2077,2050,2078,2085,2119,2162,2102,1930,1710,1530,1514,1557,1673,1770
394843,71,"McAllen, TX",Msa,TX,2099,2104,2165,2198,2245,2230,2219,2240,2265,2326,2327,2311,2343,2410,2514,2515,2507,2489,2490,2480,2460,2456,2435,2384,2358,2377,2431,2396,2349,2218,2085,1900,1753,1671,1631,1643,1671,1620,1579,1534,1546,1530
394486,72,"Columbia, SC",Msa,SC,5019,4806,4857,5012,5176,5218,5226,5233,5044,4867,4645,4430,4248,4087,4166,4193,4379,4658,5038,5288,5272,5100,4849,4600,4507,4427,4516,4401,4397,4155,3955,,,,3135,2877,2694,2634,2631,2558,2536,2495
394648,73,"Greensboro, NC",Msa,NC,2744,2658,2728,2892,3136,3229,3272,3040,2828,2615,2520,2401,2304,2229,2321,2376,2494,2560,2659,2707,2707,2653,2556,2389,2242,2135,2164,2149,2204,2175,2151,2033,1970,1943,1866,1711,1544,1362,1219,942,748,586
394304,74,"Akron, OH",Msa,OH,3608,3380,3465,3678,3981,4183,4330,4377,4317,4186,3949,3592,3224,2955,2993,3165,3503,3794,4046,4122,4114,4040,3878,3606,3283,3030,2978,2886,2877,2837,2938,2987,2959,2869,2679,2381,2113,1695,1477,1291,1423,1579
753906,75,"North Port-Sarasota-Bradenton, FL",Msa,FL,7810,8288,8914,9113,8977,8570,8033,7648,7334,7363,7580,7841,8374,8836,9427,9356,9038,8625,8288,8038,7698,7581,7652,7739,8132,8508,8842,8511,8142,7659,7288,6767,6350,6181,5920,5593,5165,4662,4259,3729,3450,3195
394798,76,"Little Rock, AR",Msa,AR,4891,4745,4888,5115,5458,5705,5823,5888,5857,5802,5640,5363,5128,5011,5159,5350,5312,5183,4969,4908,4950,4990,4958,4722,4495,4426,4538,4586,4645,4606,4639,4580,4411,4232,3826,3374,2922,2672,2631,2593,2697,2773
395134,77,"Stockton, CA",Msa,CA,1268,1200,1269,1369,1523,1635,1738,1851,1938,1991,1936,1790,1638,1527,1561,1643,1764,1901,2020,2092,2110,2091,1999,1805,1585,1442,1406,1365,1374,1358,1351,1278,1231,1217,1140,1012,887,853,922,1011,1106,
