Zipcode,Year,Average House Price
30067,2020,387865.5
30067,2021,426578
30114,2013,201214.3333
30114,2014,218087.9167
30114,2015,222467.5833
30114,2016,240790.4167
30114,2017,251892.9167
30114,2018,271402.5833
30114,2019,287761.6667
30114,2020,301527.9167
30114,2021,333298.5
30144,2013,161656.4167
30144,2014,177860.75
30144,2015,187437.1667
30144,2016,199930.75
30144,2017,214484.8333
30144,2018,229831.6667
30144,2019,243336.5
30144,2020,257546.0833
30144,2021,287100.6667
30319,2013,433095.0833
30319,2014,480495.75
30319,2015,507921.25
30319,2016,544996.5833
30319,2017,562700.5
30319,2018,598817.9167
30319,2019,606208.0833
30319,2020,619045.0833
30319,2021,663670
30016,2013,91552.83333
30016,2014,109581.8333
30016,2015,119115.25
30016,2016,126655.5
30016,2017,134893.5
30016,2018,148037.5
30016,2019,164887.0833
30016,2020,175198
30016,2021,191754
30236,2013,74939
30236,2014,92757.75
30236,2015,103113
30236,2016,110022
30236,2017,122038.6667
30236,2018,137474.6667
30236,2019,154842.6667
30236,2020,166818.5833
30236,2021,182415.8333
30309,2013,504129.1667
30309,2014,565245.4167
30309,2015,609606.9167
30309,2016,635537.9167
30309,2017,666795.5833
30309,2018,711065
30309,2019,719694.5
30309,2020,736241.4167
30309,2021,775766.8333
30032,2013,71051.5
30032,2014,87666.66667
30032,2015,101573.5833
30032,2016,108776.0833
30032,2017,127685.1667
30032,2018,170464.8333
30032,2019,199871
30032,2020,206801.6667
30032,2021,226482.6667
30064,2013,224622.3333
30064,2014,242665.5
30064,2015,255245.0833
30064,2016,270813.9167
30064,2017,287751.5
30064,2018,305669.1667
30064,2019,319359.5
30064,2020,334016
30064,2021,371771.8333
30328,2013,402876.1667
30328,2014,433682.25
30328,2015,456536.0833
30328,2016,481929.25
30328,2017,501811.5833
30328,2018,525383.5
30328,2019,533949.8333
30328,2020,547787.0833
30328,2021,585782.6667
30093,2013,94857.83333
30093,2014,116477.25
30093,2015,130115.0833
30093,2016,142036.75
30093,2017,156411.4167
30093,2018,172187.5
30093,2019,188061.8333
30093,2020,204106.3333
30093,2021,232247.8333
30518,2013,182068.25
30518,2014,201811.5
30518,2015,210675.5833
30518,2016,222789.75
30518,2017,238045.0833
30518,2018,257708.5833
30518,2019,269701.6667
30518,2020,283416.6667
30518,2021,317126.8333
30324,2013,396403.8333
30324,2014,437320.0833
30324,2015,467701.9167
30324,2016,491089.9167
30324,2017,520167.8333
30324,2018,552843.3333
30324,2019,564183.1667
30324,2020,575966.0833
30324,2021,607349.8333
30034,2013,75234.5
30034,2014,92596.33333
30034,2015,101896
30034,2016,114562.4167
30034,2017,123594.5
30034,2018,144244
30034,2019,161355.8333
30034,2020,176212.3333
30034,2021,198678.1667
30076,2013,269643.8333
30076,2014,293975.0833
30076,2015,309681.9167
30076,2016,329554.0833
30076,2017,354499.3333
30076,2018,376294.0833
30076,2019,387119.1667
30076,2020,398246.75
30076,2021,431212.1667
30097,2013,348205.4167
30097,2014,381434.75
30097,2015,397222.8333
30097,2016,414353.8333
30097,2017,432446.1667
30097,2018,450988.3333
30097,2019,459274.4167
30097,2020,470453.5
30097,2021,513674.6667
30339,2013,318909.25
30339,2014,343609.4167
30339,2015,364470.3333
30339,2016,384058.5
30339,2017,403911
30339,2018,427027.5
30339,2019,439571.75
30339,2020,451643.3333
30339,2021,484419.6667
30157,2013,126178.0833
30157,2014,138847.9167
30157,2015,146703.5
30157,2016,154475.6667
30157,2017,162300.9167
30157,2018,178222.0833
30157,2019,191907.9167
30157,2020,206543.0833
30157,2021,232108
30519,2013,191950.8333
30519,2014,212589.5
30519,2015,221197.25
30519,2016,233148.3333
30519,2017,248051.3333
30519,2018,265619.8333
30519,2019,278984.5833
30519,2020,292249.1667
30519,2021,327248.6667
30350,2013,447988.8333
30350,2014,480418.4167
30350,2015,496473.1667
30350,2016,513982.5833
30350,2017,531970
30350,2018,560275.5833
30350,2019,563145.1667
30350,2020,582032.3333
30350,2021,628759.3333
30228,2013,101987.9167
30228,2014,121280.1667
30228,2015,133454.6667
30228,2016,140160.1667
30228,2017,150330.25
30228,2018,166447
30228,2019,182481.0833
30228,2020,196547.75
30228,2021,217015.6667
30120,2013,118802.8333
30120,2014,127431.1667
30120,2015,135565.25
30120,2016,145837.1667
30120,2017,159193.6667
30120,2018,174279.1667
30120,2019,189801.9167
30120,2020,201708.5
30120,2021,220896.1667
30039,2013,123432.75
30039,2014,144311.4167
30039,2015,155559.5833
30039,2016,165500
30039,2017,178031.8333
30039,2018,193824.4167
30039,2019,207987.5833
30039,2020,223822.8333
30039,2021,253675
30680,2013,107411.9167
30680,2014,129052.5
30680,2015,134202.5833
30680,2016,145821
30680,2017,157706.1667
30680,2018,176431.4167
30680,2019,188961.25
30680,2020,207835.9167
30680,2021,231538.6667
30115,2013,228424.4167
30115,2014,248557.6667
30115,2015,254744.0833
30115,2016,277177.5833
30115,2017,287637.25
30115,2018,308516.25
30115,2019,325614.5
30115,2020,340288.1667
30115,2021,375609.5
30126,2013,159469
30126,2014,178486.25
30126,2015,189122
30126,2016,201475.0833
30126,2017,214453.0833
30126,2018,230905.4167
30126,2019,244094.0833
30126,2020,258776.3333
30126,2021,289275
30134,2013,94653.58333
30134,2014,109367.1667
30134,2015,119993.6667
30134,2016,129972.0833
30134,2017,142939.75
30134,2018,157476.3333
30134,2019,170933
30134,2020,185472.3333
30134,2021,210335.5
30038,2013,90145.91667
30038,2014,105798.9167
30038,2015,112161.4167
30038,2016,121130
30038,2017,130131.3333
30038,2018,147301.9167
30038,2019,157756.6667
30038,2020,173231.3333
30038,2021,196441.1667
30132,2013,122536.4167
30132,2014,134935.9167
30132,2015,159102.8333
30132,2016,179399.4167
30132,2017,199732.1667
30132,2018,217648.75
30132,2019,232033.75
30132,2020,249215
30132,2021,277575.3333
30316,2013,171123.1667
30316,2014,188757.8333
30316,2015,205785.0833
30316,2016,231194.75
30316,2017,256070.0833
30316,2018,298230.8333
30316,2019,317020.8333
30316,2020,327743.3333
30316,2021,357434
30252,2013,161009.8333
30252,2014,181954.1667
30252,2015,190204.1667
30252,2016,195614.1667
30252,2017,207291.4167
30252,2018,224008.4167
30252,2019,236307.8333
30252,2020,254624.5
30252,2021,281848
30019,2013,191624
30019,2014,214091.9167
30019,2015,224103
30019,2016,236181.4167
30019,2017,249367.75
30019,2018,266549
30019,2019,279684.9167
30019,2020,292607.5
30019,2021,330357.1667
30152,2013,221382.6667
30152,2014,239663.75
30152,2015,250533.3333
30152,2016,264814.8333
30152,2017,278301.3333
30152,2018,294390.8333
30152,2019,306255.5
30152,2020,320853.1667
30152,2021,355754.5
30213,2013,108803.3333
30213,2014,133093.25
30213,2015,147852.5833
30213,2016,159182.5833
30213,2017,169743.1667
30213,2018,184282.25
30213,2019,196644
30213,2020,210209
30213,2021,233328.3333
30305,2013,679317.8333
30305,2014,738069.3333
30305,2015,786194.9167
30305,2016,815982
30305,2017,843807.3333
30305,2018,882668.5833
30305,2019,897722.4167
30305,2020,917204.1667
30305,2021,964591.6667
30084,2013,169588.75
30084,2014,185403.25
30084,2015,194123.1667
30084,2016,207608.4167
30084,2017,224691.4167
30084,2018,249674.5
30084,2019,262240.1667
30084,2020,278300
30084,2021,306594.1667
30102,2013,150123.75
30102,2014,165172.9167
30102,2015,173511.75
30102,2016,185247.3333
30102,2017,198303.5
30102,2018,218029.3333
30102,2019,234688.9167
30102,2020,249090.25
30102,2021,277487
30338,2013,398040.3333
30338,2014,423881.5833
30338,2015,437263.0833
30338,2016,464675.0833
30338,2017,479884.75
30338,2018,512486.0833
30338,2019,515249.25
30338,2020,524407.5833
30338,2021,563223.5
30294,2013,85611.41667
30294,2014,103599.5833
30294,2015,116036
30294,2016,127551.3333
30294,2017,139940.4167
30294,2018,156513.1667
30294,2019,172882.4167
30294,2020,188699.6667
30294,2021,208875.5
30311,2013,64814.25
30311,2014,75800.5
30311,2015,87687
30311,2016,101520.5833
30311,2017,128099.1667
30311,2018,176714.0833
30311,2019,206159.8333
30311,2020,225991
30311,2021,258605.3333
30269,2013,260018
30269,2014,278917.75
30269,2015,294512.5
30269,2016,309179.5
30269,2017,333184.8333
30269,2018,348179.5
30269,2019,357132.25
30269,2020,370407.0833
30269,2021,390992.8333
30092,2013,279189.6667
30092,2014,302795.9167
30092,2015,312297.9167
30092,2016,330612.3333
