RegionID,SizeRank,RegionName,RegionType,StateName,1/31/2013,2/28/2013,3/31/2013,4/30/2013,5/31/2013,6/30/2013,7/31/2013,8/31/2013,9/30/2013,10/31/2013,11/30/2013,12/31/2013,1/31/2014,2/28/2014,3/31/2014,4/30/2014,5/31/2014,6/30/2014,7/31/2014,8/31/2014,9/30/2014,10/31/2014,11/30/2014,12/31/2014,1/31/2015,2/28/2015,3/31/2015,4/30/2015,5/31/2015,6/30/2015,7/31/2015,8/31/2015,9/30/2015,10/31/2015,11/30/2015,12/31/2015,1/31/2016,2/29/2016,3/31/2016,4/30/2016,5/31/2016,6/30/2016,7/31/2016,8/31/2016,9/30/2016,10/31/2016,11/30/2016,12/31/2016,1/31/2017,2/28/2017,3/31/2017,4/30/2017,5/31/2017,6/30/2017,7/31/2017,8/31/2017,9/30/2017,10/31/2017,11/30/2017,12/31/2017,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,1/31/2021,2/28/2021,3/31/2021,4/30/2021,5/31/2021,6/30/2021
394733,408,"Kalispell, MT",Msa,MT,225697,230936,237688,241368,244052,246095,248716,251812,255174,258642,261702,263845,265423,267545,268646,269986,270483,271841,273425,274487,275719,276665,277140,277944,277645,278823,280173,283590,286096,287771,288082,288918,288996,289169,289803,291869,294459,295368,295333,294249,294083,294173,295430,297680,300564,303296,304902,305482,306166,306890,308422,309654,311732,313738,316038,316431,317079,318447,321037,322971,324085,325780,328385,332028,335207,338232,339961,341111,341771,341981,343050,345079,348074,351405,353604,354901,355605,356732,358358,360795,362541,364209,365878,369013,371533,373780,374160,374602,374796,376392,379793,384051,389805,396820,404423,411932,421171,431982,446702,463919,484281,505997
395086,409,"Sevierville, TN",Msa,TN,166280,166031,166136,166492,167382,168332,169398,169862,170423,170930,171458,172007,172506,172980,173721,174594,174466,173894,173404,174248,175205,175963,176255,176769,177536,178739,179380,179513,179702,180202,180704,180198,179666,179349,179727,180213,180688,180693,180586,181135,182513,184101,185421,186512,187042,187814,188596,189578,190559,191490,192993,193984,194670,195239,196194,197526,199176,200532,202038,203057,203904,205149,206227,207975,209643,211420,212896,214366,216372,218744,220539,222192,223804,225268,226862,228232,229724,231259,233222,235611,238137,240255,242197,244296,246468,249553,252069,254691,255890,257157,258314,260320,262481,265405,269460,274369,280113,285939,293135,301278,311852,323731
394325,410,"Ames, IA",Msa,IA,162659,162837,163023,163300,163418,163507,163601,164497,165634,166854,167748,168687,169070,169269,169379,170000,170769,171731,172742,173159,173379,173481,173097,172729,173668,175532,177420,178087,178862,179717,180834,181862,182480,182959,183973,185020,185471,185221,185257,185849,186529,187135,187795,188555,189473,190252,190885,191630,192500,193553,194423,195252,196061,196890,197052,197154,197350,198190,199142,199892,200392,200808,201209,201802,201848,201637,201361,201482,201633,201702,201554,201601,201794,202348,202801,203226,203619,204138,204765,205182,205624,205857,206354,206833,207412,207807,208284,208714,208996,209070,209223,209722,210460,211417,212447,213653,214980,216518,218304,220376,222982,226054
394407,411,"Bozeman, MT",Msa,MT,319787,321042,322643,323921,324763,325069,325164,325470,325620,326326,327352,328488,329627,330754,332096,333121,334004,334879,336412,338878,341889,343702,344869,345552,346597,348173,349048,350683,353452,357281,360753,362467,363567,365145,367029,369341,371055,372914,375272,377810,380119,381706,383354,385988,388433,391161,393367,396271,399386,402650,405928,408931,411357,413514,415876,418623,422402,426432,431055,435369,439378,442568,445636,448555,452221,456257,460742,464133,467844,470493,473489,474343,476321,478084,480484,483618,487331,492168,495249,496680,502556,506166,511349,508528,509447,511114,514994,519724,522118,524393,525650,530680,532477,537035,540668,552706,562107,572092,581013,589905,601525,614004
394882,412,"Moses Lake, WA",Msa,WA,131029,132151,133220,134067,134888,135717,136417,137222,138068,138936,139862,140618,141244,141820,142490,143337,144125,144917,145649,146383,147327,148396,149478,150482,151342,152311,152906,153686,154594,155842,157119,158623,159624,160431,160906,161988,163370,164636,164603,164049,163412,163913,164610,166549,168715,170991,172144,172983,173581,174192,177976,182137,186566,188133,189696,187699,185470,183000,183869,184896,186211,187543,187203,186614,186318,187281,188181,189891,191559,193415,194075,195393,196770,198108,200530,203283,204643,205338,205689,206878,208784,210174,212237,213134,215045,216961,218723,220332,222527,224727,227039,229958,232502,235613,238375,242021,245053,248446,251998,255908,260427,265536
394704,413,"Indiana, PA",Msa,PA,98125,98404,98664,98883,99042,99228,99311,99560,99786,100090,100335,100585,100793,100888,101248,101593,102086,102324,102592,102674,102760,102851,103104,103376,103738,104119,104202,104206,104145,104361,104669,104957,105287,105575,105833,106123,105947,105905,105589,105751,105829,106234,106615,107055,107444,107851,108279,108728,109388,109968,111451,112772,114107,114557,114943,115393,115869,116373,116912,117411,118212,118965,119467,119637,119803,120223,120627,121020,121390,121857,122244,122802,123265,123863,124117,124465,124780,125326,125867,126662,127463,128207,128176,127974,127739,127904,128164,128481,128714,128947,129140,129260,129356,129465,130227,131081,131974,132554,133307,134106,135064,135969
394568,414,"Elmira, NY",Msa,NY,93767,93625,93246,93314,93669,94109,94440,94726,94984,95106,95352,95597,96075,96486,97033,97082,96810,96227,95887,95559,95338,95271,95410,95342,95106,94802,94561,94531,94434,94280,93762,93305,92890,92504,91879,91327,91010,90819,90579,90080,89687,89613,89924,90326,90578,90593,90582,90759,90965,91196,91586,92224,92709,93001,92855,92722,92683,93292,94267,94719,94846,94832,95168,95539,96310,96921,97919,98557,99249,99259,99222,99514,100072,100465,100427,100214,100037,100152,100492,101233,101501,101607,100647,100412,100251,101180,101613,101635,101488,101582,101962,101966,102269,102972,104525,105551,106548,106902,107898,109435,111164,112766
394847,415,"Meadville, PA",Msa,PA,83578,83833,84042,84087,84101,84092,84000,84056,84110,84321,84521,84733,84912,85004,85157,85453,85733,85990,86215,86509,86811,87064,87201,87294,87402,87548,87776,87960,88186,88390,88644,88766,88900,89070,89284,89575,89789,90174,90484,90946,91259,91614,91794,92083,92326,92594,92880,93194,93575,93795,94012,94124,94418,94709,95146,95599,96072,96579,96965,97292,97467,97769,98119,98486,98858,99241,99696,99961,100186,100275,100526,100857,101403,101918,102431,103059,103483,103847,104038,104586,105103,105510,105339,105276,105341,105712,106077,106344,106616,107024,107494,108016,108476,109113,110177,111165,112014,112669,113372,114156,115103,116042
394373,416,"Beaver Dam, WI",Msa,WI,115763,115442,114938,115144,115037,114623,114194,114218,114578,114878,115193,115043,116554,118244,120560,121097,122984,125620,128767,130474,131350,131841,132308,132823,133167,133134,132752,132401,131196,130050,128376,127899,127676,128725,129116,130232,130021,131320,133616,137423,140753,142977,144589,145522,146210,146590,148865,150254,152061,151620,149001,146117,144063,143993,144670,145769,147540,148422,148265,148483,149207,150898,153374,155391,156915,157388,158150,159211,160144,161339,162032,162844,163391,164408,165295,166408,167125,168340,168955,169465,169279,169087,169106,169189,169696,169592,170745,171448,173546,174615,176391,177767,179903,182222,184895,187486,189831,192403,193982,196076,197433,199726
753912,417,"Pinehurst-Southern Pines, NC",Msa,NC,195580,195902,196197,196331,196532,196660,199584,202227,204993,205190,205549,206160,206639,207513,208280,209178,210125,211227,211347,211344,211115,211757,212277,212781,213019,213394,213561,213834,213910,214267,213904,213746,213319,213763,214287,214739,215328,215218,215496,215681,216273,216408,216537,216616,217219,217722,218285,218896,219765,220828,221555,222251,222549,223199,224101,225207,226064,226848,227340,227826,228033,229019,230411,231775,233237,234438,235619,236495,237431,238160,239117,240034,241222,242120,243038,244346,245562,246316,246524,246966,247597,248525,249361,250572,251768,253192,254651,255150,255240,255636,257327,259363,261488,263825,266557,269441,272711,276256,280208,285321,291437,298265
