Zip Code,Population
30530,"6,887"
30753,"6,873"
30683,"6,866"
31092,"6,843"
30176,"6,838"
31774,"6,831"
31031,"6,780"
31635,"6,774"
30415,"6,765"
30735,"6,719"
30303,"6,628"
30326,"6,529"
30184,"6,504"
31811,"6,442"
31028,"6,406"
30183,"6,365"
39837,"6,288"
30113,"6,273"
31804,"6,186"
31901,"6,181"
30802,"6,173"
30002,"6,054"
30563,"5,973"
30457,"5,816"
31569,"5,789"
30520,"5,774"
31634,"5,726"
30292,"5,650"
30220,"5,642"
30173,"5,564"
31714,"5,533"
31305 and 30175,"5,409"
31822,"5,396"
30411,"5,333"
30434 and 30147,"5,331"
31068,"5,329"
30558,"5,322"
31803 and 39840,"5,317"
30621,"5,300"
31816,"5,271"
31806,"5,183"
30104,"5,136"
30557,"5,076"
31645,"5,048"
30521,"5,018"
31063,"5,006"
30582,"4,998"
30346,"4,914"
30629,"4,832"
31642,"4,804"
31566,"4,787"
30560,"4,772"
30471,"4,744"
30559,"4,740"
31553,"4,660"
30565,"4,614"
30543,"4,570"
30750,"4,558"
31001,"4,547"
30185,"4,494"
30725,"4,442"
31089,"4,427"
31006,"4,411"
31091,"4,376"
30257,"4,336"
30527,"4,321"
31543,"4,242"
30295,"4,214"
30808,"4,157"
30222,"4,089"
30828,"4,052"
39827,"4,002"
31650,"3,982"
30079,"3,973"
30139,"3,940"
39897,"3,919"
31815,"3,889"
30511,"3,874"
30445,"3,851"
30564,"3,844"
31037,"3,838"
30567,"3,820"
30206,"3,789"
31647,"3,781"
30363,"3,773"
31606,"3,743"
31773,"3,702"
30738,"3,697"
30734,"3,608"
30833,"3,589"
31519,"3,562"
31098,"3,489"
31328,"3,460"
30571,"3,459"
31301,"3,447"
30055,"3,432"
31626,"3,416"
30538,"3,404"
31046,"3,348"
30711 and 31775,"3,332"
31557,"3,296"
30171,"3,282"
30624,"3,273"
31831,"3,272"
30669,"3,263"
30663,"3,255"
31801,"3,237"
30259,"3,219"
31807,"3,167"
31044,"3,161"
31076,"3,124"
31716,"3,079"
31002,"3,065"
30547,"3,057"
30258,"3,035"
30332,"3,034"
30256,"3,007"
30178,"3,005"
30648,"3,003"
30124,"2,980"
31075,"2,978"
31012,"2,963"
30602,"2,952"
31744,"2,925"
30170,"2,904"
31637,"2,900"
30205,"2,862"
31078,"2,861"
31749,"2,825"
30428,"2,815"
30477 and 31542,"2,805"
30322,"2,780"
31805,"2,745"
30421,"2,723"
31303,"2,682"
31018,"2,673"
31765,"2,668"
30293,"2,609"
30576,"2,574"
31830,"2,558"
30182,"2,501"
31562,"2,478"
31555,"2,451"
31560,"2,448"
30473,"2,442"
30627,"2,418"
30805,"2,408"
39854,"2,404"
30555,"2,400"
30216,"2,361"
30625,"2,327"
30731,"2,314"
30251,"2,313"
30609,"2,308"
31825,"2,292"
30630,"2,285"
31778,"2,277"
31781,"2,263"
30056,"2,262"
30516,"2,221"
31079,"2,212"
39834,"2,197"
31827,"2,194"
39866,"2,185"
30450,"2,170"
