Zipcode,Population,Median Age,Household Income,Per Capita Income,Poverty Count
00601,17113.0,41.9,14361.0,7493.0,10552.0
00602,37751.0,42.9,16807.0,9694.0,18653.0
00603,47081.0,42.1,16049.0,11259.0,23691.0
00606,6392.0,44.3,12119.0,6093.0,4185.0
00610,26686.0,42.7,19898.0,10572.0,12204.0
00612,59369.0,42.6,18741.0,10966.0,27631.0
00616,10022.0,44.6,17007.0,9908.0,4825.0
00617,23750.0,40.7,16984.0,9795.0,11392.0
00622,6741.0,52.0,14615.0,11215.0,3255.0
00623,41746.0,42.6,17130.0,9691.0,21413.0
00624,21936.0,38.9,16701.0,9488.0,12337.0
00627,31598.0,42.2,17000.0,10709.0,15741.0
00631,1499.0,48.9,10244.0,7906.0,1054.0
00637,22383.0,42.2,17405.0,9864.0,10251.0
00638,16412.0,42.5,16843.0,9260.0,8927.0
00641,26712.0,43.9,15792.0,8833.0,13881.0
00646,37095.0,41.0,30573.0,16763.0,12268.0
00647,5809.0,44.7,14223.0,7468.0,3551.0
00650,14534.0,39.5,19764.0,8998.0,7562.0
00652,3565.0,43.1,21987.0,11312.0,1452.0
00653,10484.0,41.9,12072.0,7196.0,6766.0
00656,18485.0,41.3,17355.0,9115.0,10110.0
00659,39950.0,42.1,17715.0,11144.0,18072.0
00660,15943.0,47.2,19030.0,12479.0,6937.0
00662,39700.0,41.7,16834.0,9014.0,21975.0
00664,14693.0,38.6,14595.0,7270.0,8848.0
00667,23186.0,45.8,14013.0,7467.0,14494.0
00669,24803.0,42.9,16922.0,9196.0,13510.0
00670,8364.0,42.1,14245.0,7711.0,4167.0
00674,38971.0,42.2,18299.0,11002.0,18333.0
00676,36299.0,39.9,14992.0,10331.0,19599.0
00677,14093.0,46.0,19943.0,12517.0,5851.0
00678,25624.0,41.2,17144.0,10318.0,12588.0
00680,45190.0,43.6,14217.0,10477.0,23342.0
00682,31735.0,37.8,14706.0,11719.0,17392.0
00683,29487.0,44.5,16332.0,10534.0,14770.0
00685,37058.0,44.6,15185.0,9494.0,19904.0
00687,30962.0,38.7,20941.0,9728.0,13879.0
00688,12139.0,42.0,17874.0,9152.0,6110.0
00690,5722.0,41.8,18288.0,11611.0,2934.0
00692,35135.0,39.5,20585.0,12078.0,15357.0
00693,53360.0,41.4,19576.0,11009.0,24294.0
00694,64.0,73.8,-666666666.0,7588.0,19.0
00698,35317.0,43.8,14794.0,8413.0,17183.0
00703,26097.0,41.9,18846.0,10735.0,12397.0
00704,8108.0,32.6,17275.0,8501.0,4406.0
00705,22662.0,42.4,20214.0,11321.0,10010.0
00707,10721.0,44.4,20760.0,9245.0,4885.0
00714,17739.0,40.4,17615.0,8636.0,10471.0
00715,2818.0,43.9,12188.0,7154.0,1906.0
00716,27513.0,44.6,17969.0,14182.0,13360.0
00717,16086.0,40.6,12121.0,10647.0,8897.0
00718,25430.0,37.9,19372.0,9353.0,11989.0
00719,28556.0,41.3,18922.0,9119.0,13157.0
00720,20758.0,40.0,15295.0,8339.0,11552.0
00723,16984.0,45.0,16063.0,9682.0,9141.0
00725,80537.0,41.9,21350.0,13585.0,33738.0
00727,52743.0,40.8,31688.0,17636.0,16492.0
00728,39083.0,39.5,19340.0,10157.0,18076.0
00729,51015.0,40.1,21469.0,12656.0,21080.0
00730,30175.0,40.6,15723.0,11042.0,16095.0
00731,12657.0,40.5,15473.0,10534.0,6803.0
00735,12159.0,42.6,18395.0,10956.0,5094.0
00736,46085.0,43.7,21894.0,12761.0,19344.0
00738,29196.0,42.3,19859.0,13251.0,12248.0
00739,36734.0,40.1,20065.0,10918.0,16176.0
00740,1915.0,32.5,12944.0,6668.0,1287.0
00741,4074.0,43.0,22121.0,11422.0,1787.0
00745,50435.0,41.1,22960.0,11517.0,19433.0
00751,20677.0,43.1,18087.0,9869.0,10007.0
00754,36893.0,42.2,19403.0,11271.0,16064.0
00757,21757.0,38.8,19827.0,11596.0,9867.0
00765,8523.0,47.2,14880.0,10440.0,3923.0
00766,22687.0,40.2,19682.0,10854.0,10816.0
00767,33499.0,42.9,16295.0,9929.0,17766.0
00769,38812.0,41.6,19700.0,11054.0,17855.0
00771,36906.0,39.7,21175.0,11340.0,15647.0
00772,19529.0,40.2,16107.0,8499.0,10320.0
00773,18224.0,41.9,21850.0,11123.0,7682.0
00775,1299.0,43.0,22667.0,14886.0,465.0
00777,39609.0,38.8,19830.0,10327.0,18622.0
00778,46707.0,39.1,35183.0,18625.0,14101.0
00780,11016.0,39.4,21663.0,13140.0,5132.0
00782,17670.0,39.0,13683.0,7234.0,10316.0
00783,32769.0,39.6,14995.0,8135.0,18420.0
00784,39823.0,39.1,17415.0,10447.0,19004.0
00786,360.0,54.0,37552.0,13462.0,46.0
00791,48433.0,43.3,20269.0,13179.0,20620.0
00794,28434.0,36.7,17073.0,8550.0,15733.0
00795,43873.0,39.4,20471.0,10397.0,20501.0
00901,6617.0,45.0,21469.0,29932.0,2437.0
00906,191.0,35.6,106518.0,63599.0,14.0
00907,15151.0,48.9,36495.0,41205.0,3900.0
00909,4698.0,40.8,19443.0,16952.0,2013.0
00911,7089.0,47.6,35470.0,33282.0,1763.0
00912,5660.0,46.0,22292.0,17735.0,2279.0
00913,7890.0,26.3,6493.0,8516.0,6391.0
00915,24888.0,41.0,12802.0,9366.0,15168.0
00917,18196.0,48.2,15220.0,14535.0,8950.0
00918,15759.0,43.3,25117.0,23687.0,6192.0
00920,16281.0,46.7,25809.0,15824.0,5205.0
00921,31801.0,39.8,18763.0,13733.0,14238.0
00923,23851.0,42.3,14159.0,11557.0,12760.0
00924,48141.0,39.8,18176.0,12932.0,23511.0
00925,6640.0,37.1,11090.0,13221.0,3919.0
00926,93330.0,44.5,35788.0,24073.0,25359.0
00927,13626.0,44.9,35268.0,26116.0,3389.0
00934,109.0,32.4,-666666666.0,18809.0,0.0
00936,773.0,60.7,-666666666.0,7617.0,0.0
00949,72943.0,40.6,27229.0,13995.0,24451.0
00950,0.0,-666666666.0,-666666666.0,-666666666.0,0.0
00951,0.0,-666666666.0,-666666666.0,-666666666.0,0.0
00952,7598.0,45.0,14991.0,8904.0,4128.0
00953,71174.0,38.4,29019.0,14771.0,20895.0
00956,63264.0,42.4,23127.0,13075.0,24676.0
00957,38198.0,41.3,26667.0,13864.0,12830.0
00959,46441.0,41.4,30466.0,16549.0,13832.0
00960,2205.0,33.3,-666666666.0,3306.0,40.0
00961,29743.0,44.3,29511.0,16906.0,9023.0
00962,19082.0,38.4,15497.0,10627.0,10358.0
00965,6709.0,48.8,15276.0,12815.0,3509.0
00966,15254.0,47.2,48163.0,33918.0,2950.0
00968,3448.0,57.2,49099.0,41280.0,579.0
00969,41941.0,42.1,50419.0,29145.0,7437.0
00971,25925.0,43.9,22480.0,15459.0,8805.0
00976,58640.0,40.9,32377.0,16538.0,17732.0
00979,16130.0,48.7,34701.0,30272.0,2852.0
