Zipcode,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Year,Zipcode_Year
30028,22423,36.6,70713,26901,2408,2014,30028_2014
30028,23276,36.9,71585,27045,2556,2015,30028_2015
30028,24113,36.7,74303,29119,2368,2016,30028_2016
30028,24437,37.5,79043,32034,2260,2017,30028_2017
30028,24978,38.4,87759,34404,1996,2018,30028_2018
30028,27120,38.4,93518,36793,1826,2019,30028_2019
30030,25701,38.2,66134,41718,3653,2013,30030_2013
30030,26470,36.4,68171,41588,4047,2014,30030_2014
30030,27322,36,69721,42869,4010,2015,30030_2015
30030,27549,36.5,70666,43000,3978,2016,30030_2016
30030,28170,36.7,77789,46380,4141,2017,30030_2017
30030,29490,37,81331,48279,3606,2018,30030_2018
30030,30608,38.3,86698,53410,2880,2019,30030_2019
30032,48693,36.1,33475,16716,13136,2013,30032_2013
30032,48419,36.3,32264,17259,13306,2014,30032_2014
30032,48787,36.9,33524,17503,13540,2015,30032_2015
30032,48724,37,35117,18518,13274,2016,30032_2016
30032,49896,37.4,36660,19369,12208,2017,30032_2017
30032,49456,36.9,38448,20807,11106,2018,30032_2018
30032,47980,37.9,40485,22390,9638,2019,30032_2019
30033,29604,36.3,59997,35870,4388,2013,30033_2013
30033,30312,36.7,59780,35499,4890,2014,30033_2014
30033,31276,36.9,61892,37237,5438,2015,30033_2015
30033,31511,36.8,64480,37990,5853,2016,30033_2016
30033,31782,36.8,67462,41274,5034,2017,30033_2017
30033,32968,37.2,78053,44432,4225,2018,30033_2018
30033,32847,36.6,82726,47621,3729,2019,30033_2019
30034,45359,35.2,48210,20837,8648,2013,30034_2013
30034,44085,37.2,46815,20507,8555,2014,30034_2014
30034,43922,36.9,47500,21965,8034,2015,30034_2015
30034,44266,36.6,46656,22324,8014,2016,30034_2016
30034,45229,37.3,47890,23496,7758,2017,30034_2017
30034,46214,37.4,51603,25067,7469,2018,30034_2018
30034,48253,38.1,53662,26174,6779,2019,30034_2019
30035,20154,33.9,41584,18760,4366,2013,30035_2013
30035,20708,33.9,40882,18320,4638,2014,30035_2014
30035,20854,33.4,43483,18566,4438,2015,30035_2015
30035,21385,33.6,42585,19422,4907,2016,30035_2016
30035,22764,34.3,43998,20204,4818,2017,30035_2017
30035,22697,35.6,43595,21630,4520,2018,30035_2018
30035,23223,35.5,43761,23001,4650,2019,30035_2019
30038,39490,33.9,48856,24007,5199,2013,30038_2013
30038,40144,33.9,47025,23898,6565,2014,30038_2014
30038,41692,34.1,47907,23014,6249,2015,30038_2015
30038,42433,33.4,50302,24309,7053,2016,30038_2016
30038,39424,33,50931,24638,6078,2017,30038_2017
30038,39104,33.4,48203,24281,6849,2018,30038_2018
30038,39514,34.5,51862,26209,5185,2019,30038_2019
30039,42049,34.3,60819,24370,5463,2013,30039_2013
30039,42092,35.2,56791,23581,6259,2014,30039_2014
30039,43646,34.8,55770,22691,7460,2015,30039_2015
30039,44632,35.6,56760,23456,7099,2016,30039_2016
30039,45593,36.1,63935,25103,6062,2017,30039_2017
30039,46126,36.8,66774,25982,5665,2018,30039_2018
30039,47778,38,75546,28706,4707,2019,30039_2019
30040,58225,35.3,81378,30623,5236,2013,30040_2013
30040,59099,35.8,82234,31284,4664,2014,30040_2014
30040,61657,36.1,84462,32021,4412,2015,30040_2015
30040,64312,36.9,88668,34542,4248,2016,30040_2016
30040,66783,36.4,90925,36835,4845,2017,30040_2017
30040,70510,36.9,94377,38907,5031,2018,30040_2018
30040,72909,37.6,101181,41153,5245,2019,30040_2019
30041,56176,39.2,92733,38615,3658,2013,30041_2013
30041,56880,39.6,96439,39660,3438,2014,30041_2014
30041,57584,40.1,98269,40289,2981,2015,30041_2015
30041,59660,40.1,98458,41763,2715,2016,30041_2016
30041,64110,40,104202,43350,2971,2017,30041_2017
30041,66531,39.4,107284,44107,2816,2018,30041_2018
30041,69117,39.3,112396,45919,2988,2019,30041_2019
30043,83855,33.9,67260,26317,6861,2013,30043_2013
30043,83409,34.6,66486,26338,6732,2014,30043_2014
30043,86259,35.1,65376,25630,7407,2015,30043_2015
30043,87045,36,69788,27293,7174,2016,30043_2016
30043,88588,36.3,72728,28455,7559,2017,30043_2017
30043,90675,36.1,76493,29970,7702,2018,30043_2018
30043,91378,36.1,77443,31340,7238,2019,30043_2019
30044,81764,33.2,51827,22190,13520,2013,30044_2013
30044,83574,32.7,51604,22444,13308,2014,30044_2014
30044,86523,32.9,51974,22044,13413,2015,30044_2015
30044,87791,33.2,54220,22730,13288,2016,30044_2016
30044,89143,33,57334,23236,12728,2017,30044_2017
30044,88040,33.4,61130,24370,10536,2018,30044_2018
30044,89139,33.5,62958,25062,10158,2019,30044_2019
30045,33063,35.8,71401,25456,2579,2013,30045_2013
30045,33912,36.3,75884,26308,2397,2014,30045_2014
30045,33602,38,73186,26441,3149,2015,30045_2015
30045,35075,36.4,75470,27663,3272,2016,30045_2016
30045,38337,34.1,73475,26723,4331,2017,30045_2017
30045,40179,33.9,79568,28705,3758,2018,30045_2018
30045,43018,33,74219,26884,5188,2019,30045_2019
30046,34744,33.8,47003,19533,6847,2013,30046_2013
30046,35815,34.3,45117,19400,7135,2014,30046_2014
30046,36466,34.6,43610,19158,8438,2015,30046_2015
30046,36549,34.7,41971,19475,8269,2016,30046_2016
30046,36985,35.3,45874,22283,7272,2017,30046_2017
30046,37218,34.3,49084,23850,7492,2018,30046_2018
30046,37338,33.1,52789,24439,7117,2019,30046_2019
30047,61805,37.7,67395,27484,7414,2013,30047_2013
30047,62321,38,66955,27643,7695,2014,30047_2014
30047,62325,38.7,67644,27898,6624,2015,30047_2015
30047,64431,38.6,66139,28378,6761,2016,30047_2016
30047,66876,37.9,67897,28015,7133,2017,30047_2017
30047,65420,37.9,70307,29292,6518,2018,30047_2018
30047,65937,38.1,74521,30387,6145,2019,30047_2019
30052,59226,34.9,63338,24201,6124,2013,30052_2013
30052,58850,35.1,64993,24545,6007,2014,30052_2014
30052,59699,36,64492,24554,5212,2015,30052_2015
30052,62755,35.8,64749,24649,6025,2016,30052_2016
30052,63211,36.3,65993,25662,5884,2017,30052_2017
30052,65959,36.5,67394,26602,6238,2018,30052_2018
30052,68563,36.7,69620,28075,5612,2019,30052_2019
30054,11826,38.8,60798,24316,1396,2013,30054_2013
30054,11692,40,60752,24753,1448,2014,30054_2014
30054,11472,40.7,56667,23943,1497,2015,30054_2015
30054,11260,41.6,53786,23042,1702,2016,30054_2016
30054,11360,42.9,59929,25435,1613,2017,30054_2017
30054,11904,42,61843,26643,1711,2018,30054_2018
30054,12318,41.3,63194,27702,1380,2019,30054_2019
30056,2229,44.6,45336,21180,456,2013,30056_2013
30056,2242,47.8,49474,23806,465,2014,30056_2014
30056,2303,44.4,53646,22984,533,2015,30056_2015
30056,2322,40,47702,22245,623,2016,30056_2016
30056,2534,42,49844,24805,596,2017,30056_2017
30056,2217,43.3,50462,25366,461,2018,30056_2018
30056,2262,41.1,56250,27302,267,2019,30056_2019
30058,54053,31.5,45792,20649,9821,2013,30058_2013
30058,53237,34,46459,20836,9735,2014,30058_2014
30058,53971,34.7,46924,21216,8774,2015,30058_2015
30058,54918,35.4,47191,21697,9259,2016,30058_2016
30058,56428,35.7,48811,22505,9318,2017,30058_2017
30058,57658,35.2,51470,24060,9408,2018,30058_2018
30058,59751,34.9,54423,25544,9229,2019,30058_2019
30060,35761,30.2,36284,16627,9579,2013,30060_2013
30060,35690,30.3,37162,16790,9601,2014,30060_2014
30060,37334,30,37324,17036,9930,2015,30060_2015
30060,38472,31.7,39267,18279,9449,2016,30060_2016
30060,39255,32.4,41130,19099,8625,2017,30060_2017
30060,40705,32.1,44597,20943,7956,2018,30060_2018
30060,40290,32.7,48506,23408,6695,2019,30060_2019
30062,63806,39.8,86352,38957,3832,2013,30062_2013
30062,63984,40.3,87302,39882,4126,2014,30062_2014
30062,65206,39.9,88063,39845,4462,2015,30062_2015
30062,65557,40.2,88513,40863,4233,2016,30062_2016
