Zipcode,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Year,Zipcode_Year
30122,23422,34.6,44928,21486,4879,2015,30122_2015
30122,26121,32.9,48186,23565,5698,2016,30122_2016
30122,26410,33.1,50905,23252,5156,2017,30122_2017
30122,25786,33.7,54360,25124,4145,2018,30122_2018
30122,26015,33.9,54888,25336,4335,2019,30122_2019
30126,40243,35.1,67955,33413,6138,2013,30126_2013
30126,40343,35.7,66525,33503,5997,2014,30126_2014
30126,39105,36.3,66417,33830,5323,2015,30126_2015
30126,39366,36.9,66596,34474,4647,2016,30126_2016
30126,39788,36.9,71208,37940,4093,2017,30126_2017
30126,41665,37.2,78028,39652,4038,2018,30126_2018
30126,43486,36.1,83934,38883,4007,2019,30126_2019
30127,60016,38,71164,28683,6260,2013,30127_2013
30127,60475,38.6,72406,30022,5561,2014,30127_2014
30127,61283,39.2,72531,30455,5380,2015,30127_2015
30127,62620,40,74885,31796,4455,2016,30127_2016
30127,65854,39.5,76150,32260,4800,2017,30127_2017
30127,67688,40.1,78060,32964,4878,2018,30127_2018
30127,70298,39.3,79993,33275,4662,2019,30127_2019
30132,33402,35.2,64878,23969,4077,2013,30132_2013
30132,35587,35.1,63988,24689,4211,2014,30132_2014
30132,36238,34.9,61870,25643,4628,2015,30132_2015
30132,37447,35.7,61353,26326,4293,2016,30132_2016
30132,38405,35.6,65043,27783,3257,2017,30132_2017
30132,40441,35.4,67641,28326,3863,2018,30132_2018
30132,42607,36.5,63431,27591,3975,2019,30132_2019
30134,43108,34,49386,21496,8103,2013,30134_2013
30134,44322,33.7,46357,21486,10087,2014,30134_2014
30134,44262,34.4,47756,21275,9202,2015,30134_2015
30134,42816,35.2,48433,21683,7995,2016,30134_2016
30134,43474,35.9,51295,22211,7430,2017,30134_2017
30134,44114,36.5,52875,23410,7117,2018,30134_2018
30134,43402,36.8,55040,23658,6089,2019,30134_2019
30135,61298,35.9,60035,25697,8245,2013,30135_2013
30135,62045,36.1,61799,25337,7467,2014,30135_2014
30135,62587,36.3,60596,24808,8059,2015,30135_2015
30135,63790,36.7,66534,26287,6607,2016,30135_2016
30135,65106,37.5,70020,27771,6756,2017,30135_2017
30135,66134,37.4,72968,28736,6613,2018,30135_2018
30135,67710,37.7,76057,30220,7218,2019,30135_2019
30137,1838,42.5,61667,24923,169,2013,30137_2013
30137,1577,44.9,56750,26027,147,2014,30137_2014
30137,1470,41.2,47105,23961,154,2015,30137_2015
30137,1652,40.6,49837,25671,141,2016,30137_2016
30137,1835,37.4,47411,22851,319,2017,30137_2017
30137,1807,35.8,51806,23837,329,2018,30137_2018
30137,1914,35.6,54375,26524,291,2019,30137_2019
30141,21935,35.6,56990,24210,2319,2013,30141_2013
30141,21531,37,55819,24514,2534,2014,30141_2014
30141,21335,37.5,51300,23537,2398,2015,30141_2015
30141,22249,37.8,54332,24849,2276,2016,30141_2016
30141,23259,38.6,60361,27180,2371,2017,30141_2017
30141,23326,38.8,61329,28121,2296,2018,30141_2018
30141,23733,38.7,66217,28840,1769,2019,30141_2019
30143,21086,45.4,53792,29612,2067,2013,30143_2013
30143,20448,47,52720,29847,2017,2014,30143_2014
30143,21108,46.9,57376,30795,1751,2015,30143_2015
30143,21695,47.5,59962,31689,1850,2016,30143_2016
30143,22397,47.4,64679,31998,2002,2017,30143_2017
30143,21487,48.3,68162,33069,1930,2018,30143_2018
30143,23206,47.9,70828,33834,2104,2019,30143_2019
30144,51872,32.1,59758,27364,5595,2013,30144_2013
30144,52871,30.9,58492,27002,6178,2014,30144_2014
30144,53996,31.5,58995,26881,5645,2015,30144_2015
30144,54078,30.6,62411,28556,5449,2016,30144_2016
30144,55573,29.8,64754,29978,5843,2017,30144_2017
30144,55820,29.9,68581,31676,5602,2018,30144_2018
30144,56781,30.8,70574,33146,5423,2019,30144_2019
30145,8713,37.3,59931,21026,1167,2013,30145_2013
30145,8573,40.2,61335,23681,963,2014,30145_2014
30145,7812,40.8,62208,25489,880,2015,30145_2015
30145,7180,43.4,61474,25905,739,2016,30145_2016
30145,7223,45,64332,27960,597,2017,30145_2017
30145,7142,45.1,65030,26285,641,2018,30145_2018
30145,7655,45,65522,26495,636,2019,30145_2019
30148,413,48.4,40227,24203,71,2013,30148_2013
30148,435,43.4,41467,26352,47,2014,30148_2014
30148,558,37,39095,20296,148,2016,30148_2016
30148,579,38.4,41496,23933,112,2017,30148_2017
30148,861,36.1,42402,20063,109,2018,30148_2018
30148,762,37.6,44886,13991,87,2019,30148_2019
30152,41689,36.7,74559,35046,3087,2013,30152_2013
30152,43044,36.4,75257,33702,4263,2014,30152_2014
30152,42814,36.6,79422,35051,3341,2015,30152_2015
30152,43842,36.1,78985,35530,3381,2016,30152_2016
30152,43653,36.5,82674,37929,3591,2017,30152_2017
30152,43310,37.4,89729,38715,3220,2018,30152_2018
30152,43030,37.5,92805,42047,2100,2019,30152_2019
30157,46413,33.1,59301,22820,5334,2013,30157_2013
30157,47978,34.2,60152,23589,6552,2014,30157_2014
30157,48513,34.5,59904,23765,6247,2015,30157_2015
30157,48147,34.2,59856,23767,5476,2016,30157_2016
30157,48747,34.8,61444,24151,4894,2017,30157_2017
30157,49342,34.5,63119,26369,4321,2018,30157_2018
30157,48978,33.8,67096,27214,3303,2019,30157_2019
30168,25777,30.2,36172,16531,7270,2013,30168_2013
30168,26365,31.1,36789,17078,7804,2014,30168_2014
30168,27538,31.3,37899,16854,8106,2015,30168_2015
30168,26494,32.4,37835,17422,7386,2016,30168_2016
30168,26307,32.9,41299,18712,5804,2017,30168_2017
30168,26301,32.3,44911,20332,5135,2018,30168_2018
30168,25803,32,47788,21717,4222,2019,30168_2019
30170,3501,38.1,57759,22920,580,2013,30170_2013
30170,3485,37.8,55938,22708,529,2014,30170_2014
30170,3324,37.3,47484,21610,456,2015,30170_2015
30170,2830,38,56029,25078,280,2016,30170_2016
30170,2766,40.4,49489,24689,336,2017,30170_2017
30170,2943,39,50385,24651,367,2018,30170_2018
30170,2904,43.1,57197,27541,398,2019,30170_2019
30171,3601,37.5,59859,21991,467,2013,30171_2013
30171,3729,37.4,63849,22695,599,2014,30171_2014
30171,3170,42.6,63216,24750,274,2015,30171_2015
30171,3448,43.3,59900,23805,379,2016,30171_2016
30171,3359,42.2,61151,26319,281,2017,30171_2017
30171,3467,43.9,66179,30103,250,2018,30171_2018
30171,3282,44,68713,29864,241,2019,30171_2019
30175,6221,37.5,43474,21421,1172,2013,30175_2013
30175,6873,36.9,45335,21838,1214,2014,30175_2014
30175,6614,40.6,42544,21862,1355,2015,30175_2015
30175,5943,42.5,43487,22255,918,2016,30175_2016
30175,5485,42.8,44534,23001,791,2017,30175_2017
30175,5544,42.7,52007,26146,733,2018,30175_2018
30175,5409,42.4,58892,27324,819,2019,30175_2019
30177,1369,35.9,33866,15101,143,2013,30177_2013
30177,1142,38.9,34970,20089,144,2014,30177_2014
30177,1198,38.2,53750,28076,146,2015,30177_2015
30177,1143,35.6,68024,31951,157,2016,30177_2016
30177,936,38.4,57409,33119,112,2017,30177_2017
30177,1427,40,55456,29874,110,2018,30177_2018
30177,1273,37.6,55278,30259,83,2019,30177_2019
30178,3355,39.9,67444,29161,136,2013,30178_2013
30178,3226,40.3,70595,31192,153,2014,30178_2014
30178,3307,35.8,55455,27908,224,2015,30178_2015
30178,2672,40,45625,28300,237,2016,30178_2016
30178,2789,39.9,44146,25965,231,2017,30178_2017
30178,2971,39.3,50750,26642,253,2018,30178_2018
30178,3005,40.5,53306,25977,343,2019,30178_2019
30179,16505,36.7,47961,20007,2413,2013,30179_2013
30179,17125,37,47773,20382,2291,2014,30179_2014
30179,17899,38.4,46638,19927,2753,2015,30179_2015
30179,16922,39,46290,20919,2879,2016,30179_2016
30179,17495,37,50680,23192,3243,2017,30179_2017
30179,19109,37.3,57803,24975,3028,2018,30179_2018
30179,18176,37,64347,26032,2637,2019,30179_2019
30180,34137,35.4,60428,26193,3711,2013,30180_2013
30180,34868,35.3,57444,25263,4815,2014,30180_2014
30180,34754,36.1,56187,25229,5163,2015,30180_2015
30180,36277,36.9,55943,25885,5343,2016,30180_2016
30180,36823,35.4,58454,26897,5612,2017,30180_2017
30180,37325,34.7,61702,27295,5131,2018,30180_2018
30180,36888,36.3,69485,29248,3470,2019,30180_2019
30183,5298,40.3,59091,25167,401,2013,30183_2013
30183,5137,40.2,54519,26344,754,2014,30183_2014
30183,5129,41.8,60772,26227,663,2015,30183_2015
30183,5338,39.4,60083,26323,718,2016,30183_2016
30183,5583,42.7,63601,24765,905,2017,30183_2017
30183,6279,41.8,76800,31237,749,2018,30183_2018
30183,6365,43.6,86250,33592,338,2019,30183_2019
30184,7233,38.5,57234,24946,788,2013,30184_2013
30184,7465,40.4,63681,25987,659,2014,30184_2014
30184,7180,42.8,55394,26732,599,2015,30184_2015
30184,7017,44.8,64537,28503,730,2016,30184_2016
30184,6663,44.9,69773,30347,505,2017,30184_2017
30184,6612,46,63750,29609,654,2018,30184_2018
30184,6504,48.6,67066,31997,604,2019,30184_2019
30185,4084,37.5,50986,21415,391,2013,30185_2013
30185,3792,37.6,53396,22984,414,2014,30185_2014
30185,3859,38,51515,22698,515,2015,30185_2015
30185,4294,39,55074,23016,552,2016,30185_2016
30185,4226,40.1,54767,23833,717,2017,30185_2017
30185,4160,42.3,53491,22856,739,2018,30185_2018
30185,4494,42.4,54327,22565,925,2019,30185_2019
30187,8806,42.3,64328,27458,836,2013,30187_2013
30187,9039,41,67826,27681,758,2014,30187_2014
30187,8880,42.2,73377,29568,496,2015,30187_2015
30187,7665,43,73648,30437,373,2016,30187_2016
30187,8174,40.1,73779,28592,800,2017,30187_2017
30187,7918,43.2,73399,31510,757,2018,30187_2018
30187,7798,44.5,73630,34155,753,2019,30187_2019
30188,54177,35.6,69186,30092,4307,2013,30188_2013
30188,54784,35.7,68727,30668,4587,2014,30188_2014
30188,57035,36.5,70686,31167,5193,2015,30188_2015
30188,59061,37.2,72832,32824,4614,2016,30188_2016
30188,61885,37.8,75205,34896,4898,2017,30188_2017
30188,63171,38.8,77454,36677,4155,2018,30188_2018
30188,64836,39.4,81282,38355,4458,2019,30188_2019
30189,36506,38.2,76464,33420,2480,2013,30189_2013
30189,36573,37.7,77930,34499,2722,2014,30189_2014
30189,37259,37.1,78080,34203,3187,2015,30189_2015
30189,36941,38.4,82727,36120,2780,2016,30189_2016
30189,37078,39,84666,37622,2588,2017,30189_2017
30189,38550,38.7,87366,38647,2121,2018,30189_2018
30189,38809,40.1,88439,39855,2021,2019,30189_2019
30205,2875,46.2,76016,34729,274,2013,30205_2013
30205,3172,45.3,79514,36243,249,2014,30205_2014
30205,3184,45.9,81595,36469,213,2015,30205_2015
30205,2982,45.8,81250,35754,178,2016,30205_2016
30205,3041,46.4,90536,39530,121,2017,30205_2017
30205,2864,48.1,87664,40126,132,2018,30205_2018
30205,2862,50.8,89702,44756,139,2019,30205_2019
30213,28726,32.7,53956,23135,4388,2013,30213_2013
30213,29804,33.4,51602,22602,4261,2014,30213_2014
30213,30318,34.6,45566,22016,3773,2015,30213_2015
30213,30646,34.8,46271,22548,3336,2016,30213_2016
30213,31239,34.5,50863,23017,2914,2017,30213_2017
30213,32729,33.2,52539,23008,3816,2018,30213_2018
30213,33926,33.1,58016,25111,4283,2019,30213_2019
30214,29291,44.1,64712,29929,3745,2013,30214_2013
30214,29633,44.6,64070,30447,3601,2014,30214_2014
30214,29637,44.7,62909,30926,4212,2015,30214_2015
30214,29403,45.2,64888,31985,3497,2016,30214_2016
30214,28774,45.8,70732,34341,2927,2017,30214_2017
30214,29617,45.3,72770,35111,2375,2018,30214_2018
30214,29577,44.3,73350,36343,2218,2019,30214_2019
30215,32317,42.4,87289,36264,1367,2013,30215_2013
30215,32963,43.2,89095,37892,1268,2014,30215_2014
30215,33614,43.8,87887,38404,1380,2015,30215_2015
30215,34718,43.5,89731,39670,1278,2016,30215_2016
30215,36354,41.8,92507,39331,1213,2017,30215_2017
30215,36441,42.3,92806,41679,1247,2018,30215_2018
30215,36879,41.2,95339,41871,1320,2019,30215_2019
30220,5036,32.9,48958,22400,1085,2013,30220_2013
30220,5077,33.4,46404,20486,1067,2014,30220_2014
30220,4909,34.1,48438,21489,745,2015,30220_2015
30220,4887,34.1,48373,22433,597,2016,30220_2016
30220,5266,34.3,48734,20496,684,2017,30220_2017
30220,5375,35.4,52243,22280,452,2018,30220_2018
30220,5642,34.1,64268,24743,471,2019,30220_2019
30223,35169,38.5,36401,18256,8674,2013,30223_2013
30223,36103,38.7,34480,17979,9303,2014,30223_2014
30223,36116,39.7,35228,18296,8912,2015,30223_2015
30223,37445,38.4,35720,18106,9649,2016,30223_2016
30223,36737,39.8,39852,19655,8741,2017,30223_2017
30223,36986,39.8,39341,20337,8831,2018,30223_2018
30223,36501,40,43659,22373,7776,2019,30223_2019
30224,25651,38.1,46894,22280,4243,2013,30224_2013
30224,24420,38.6,45773,23145,4421,2014,30224_2014
30224,24603,37.5,44332,22339,4948,2015,30224_2015
30224,23683,38.6,45019,23672,4469,2016,30224_2016
30224,24140,38.6,46299,26582,4049,2017,30224_2017
30224,25142,38.9,46863,26695,4174,2018,30224_2018
30224,26453,39.1,55741,28948,2937,2019,30224_2019
30228,36771,33.5,54757,21314,6864,2013,30228_2013
30228,38220,33.3,54875,21056,7151,2014,30228_2014
30228,40559,33.1,55832,20751,7783,2015,30228_2015
30228,40005,33.9,57146,21728,7116,2016,30228_2016
30228,40782,33.5,59661,22888,6559,2017,30228_2017
30228,42259,33.6,63243,24054,5916,2018,30228_2018
30228,44031,36,67736,25437,5647,2019,30228_2019
30236,44082,33.9,40107,21374,9823,2013,30236_2013
30236,45482,34.2,41368,20748,10360,2014,30236_2014
30236,46720,33.9,42204,20487,11430,2015,30236_2015
30236,47023,33.4,46702,20961,11383,2016,30236_2016
30236,47188,33.3,47014,21529,10705,2017,30236_2017
30236,49694,33,50906,22769,9560,2018,30236_2018
30236,51199,33,53948,24461,8708,2019,30236_2019
30238,36899,31.1,43569,16682,9791,2013,30238_2013
30238,36055,31.6,43344,17119,10235,2014,30238_2014
30238,37257,31.2,43604,17019,10715,2015,30238_2015
30238,38327,31.3,43168,17249,11365,2016,30238_2016
30238,38173,32.4,47161,18922,9808,2017,30238_2017
30238,39110,31.9,48880,20018,9082,2018,30238_2018
30238,39084,32,52390,20438,8053,2019,30238_2019
30248,22772,35.8,68759,27140,1647,2013,30248_2013
30248,22702,34.6,67042,26115,2084,2014,30248_2014
30248,23330,33.8,67650,25196,1971,2015,30248_2015
30248,24289,34,66838,25222,2429,2016,30248_2016
30248,24744,33.3,65076,25375,2968,2017,30248_2017
30248,25161,34.9,68030,26214,2330,2018,30248_2018
30248,26317,35.7,74110,29204,1854,2019,30248_2019
30252,43451,36.3,71962,26821,2598,2013,30252_2013
30252,42631,38.1,71716,26921,3359,2014,30252_2014
30252,41595,37.9,70307,27108,3508,2015,30252_2015
30252,43256,37.2,72519,27725,3209,2016,30252_2016
30252,44728,37.5,77020,29468,2789,2017,30252_2017
30252,46286,37.8,83727,31616,2309,2018,30252_2018
30252,48203,36.7,86474,33081,1592,2019,30252_2019
30253,52256,34,57913,25320,6968,2013,30253_2013
30253,55082,33.6,57386,24928,7727,2014,30253_2014
30253,53974,34.6,56358,25225,6962,2015,30253_2015
30253,52663,35.1,60115,26858,5817,2016,30253_2016
30253,53647,35,61306,27896,6213,2017,30253_2017
30253,55176,35.6,65675,28894,6481,2018,30253_2018
30253,53958,36.4,69537,31021,5386,2019,30253_2019
30259,3128,43.7,49722,23047,336,2013,30259_2013
30259,2961,45,54048,26109,258,2014,30259_2014
30259,2764,45.9,54886,27459,180,2015,30259_2015
30259,2775,45.5,56875,27788,248,2016,30259_2016
30259,2653,47.7,57500,28072,256,2017,30259_2017
30259,2886,46.3,67150,35990,247,2018,30259_2018
30259,3219,44.8,72171,35755,195,2019,30259_2019
30260,26660,33.8,42204,17479,4609,2013,30260_2013
30260,26417,34.2,41632,17923,4701,2014,30260_2014
30260,26884,34,40478,16958,5297,2015,30260_2015
30260,26934,34,42474,17207,4918,2016,30260_2016
30260,26395,33.5,45760,17790,4350,2017,30260_2017
30260,25487,32.4,46834,18474,3897,2018,30260_2018
30260,25368,32.4,49252,19014,3531,2019,30260_2019
30263,52604,36.8,47331,23666,9665,2013,30263_2013
30263,53458,36.6,48860,24183,10234,2014,30263_2014
30263,55013,36.2,48060,24177,11228,2015,30263_2015
30263,55931,36.3,49336,25623,10285,2016,30263_2016
30263,57226,36.2,51290,28391,9628,2017,30263_2017
30263,58705,36.9,55699,28759,9777,2018,30263_2018
30263,59799,36.4,59772,29996,9378,2019,30263_2019
30265,32344,36.7,73826,30341,2618,2013,30265_2013
30265,33695,37.3,73449,31782,2768,2014,30265_2014
30265,33553,38.5,75541,33009,2494,2015,30265_2015
30265,34025,39,78771,34879,2157,2016,30265_2016
30265,34766,38.3,81532,36380,2732,2017,30265_2017
30265,34690,39.7,83485,38309,1925,2018,30265_2018
30265,35096,39.6,88878,38817,2333,2019,30265_2019
30268,9736,32.7,47421,22939,1216,2013,30268_2013
30268,9820,34.6,50190,22674,1637,2014,30268_2014
30268,9682,35.1,50162,21930,1845,2015,30268_2015
30268,9942,35.9,50589,21088,1807,2016,30268_2016
30268,10425,37.9,50396,22268,1795,2017,30268_2017
30268,10434,38,51902,22005,2299,2018,30268_2018
30268,10298,40.4,51865,25337,1757,2019,30268_2019
30269,34879,42.2,87159,38600,2272,2013,30269_2013
30269,35018,42.3,85836,38792,2700,2014,30269_2014
30269,35220,41.7,85064,38714,2622,2015,30269_2015
30269,35499,42.3,89454,42993,2192,2016,30269_2016
30269,35760,42.6,92989,44733,2155,2017,30269_2017
30269,35904,43.2,95837,48317,2034,2018,30269_2018
30269,36489,43.4,99665,51255,2301,2019,30269_2019
30273,13866,35,42620,18884,3463,2013,30273_2013
30273,14029,35.4,46196,19627,3380,2014,30273_2014
30273,13843,37.2,48044,19930,3164,2015,30273_2015
30273,14325,38.5,53782,22878,2537,2016,30273_2016
30273,14730,36.9,56865,22478,2157,2017,30273_2017
30273,14663,37.8,58690,23561,1776,2018,30273_2018
30273,15015,35.7,59313,23540,1424,2019,30273_2019
30274,34607,32.3,37920,17135,8328,2013,30274_2013
30274,34554,31.6,37634,17107,8981,2014,30274_2014
30274,33709,32.3,37853,17375,8881,2015,30274_2015
30274,34553,31.8,38504,17302,9039,2016,30274_2016
30274,35558,31.7,40681,18022,7909,2017,30274_2017
30274,35347,32.1,41676,18605,7448,2018,30274_2018
30274,35861,33.4,42633,19083,7816,2019,30274_2019
30276,14538,34,64867,27089,1462,2013,30276_2013
30276,14844,35.1,66062,27670,1645,2014,30276_2014
30276,14283,36.8,74016,30142,1297,2015,30276_2015
30276,14922,37.4,72285,32968,1254,2016,30276_2016
30276,14763,37.9,76885,33943,1038,2017,30276_2017
30276,15245,38.1,78604,35026,1070,2018,30276_2018
30276,16028,38.5,83969,35442,1077,2019,30276_2019
30277,21169,41.2,75578,32468,1096,2013,30277_2013
30277,21079,41.9,74878,32457,1080,2014,30277_2014
30277,22098,41.6,76285,32972,1292,2015,30277_2015
30277,22296,41.1,79508,34354,1411,2016,30277_2016
30277,22262,41,83807,35097,1204,2017,30277_2017
30277,22247,40.9,83424,35600,1406,2018,30277_2018
30277,23058,42.5,94143,38471,1422,2019,30277_2019
30281,65931,35.6,53818,23543,8386,2013,30281_2013
30281,66378,36.1,52666,23524,9892,2014,30281_2014
30281,68434,36.4,52213,22942,11173,2015,30281_2015
30281,69716,36,53735,23503,11303,2016,30281_2016
30281,69320,36.7,54913,24794,10388,2017,30281_2017
30281,67533,36.3,58003,26277,9648,2018,30281_2018
30281,68456,35.7,60035,27403,8029,2019,30281_2019
30284,55,51.2,74167,30278,1,2013,30284_2013
30284,42,51.6,67292,34157,1,2014,30284_2014
30284,48,47.5,52188,22906,4,2015,30284_2015
30284,75,36.6,54844,17493,2,2016,30284_2016
30284,90,36.3,56563,18247,2,2017,30284_2017
30288,10620,30.9,49693,19098,1997,2013,30288_2013
30288,9606,32.5,48347,18645,1836,2014,30288_2014
30288,9100,33.3,49479,19208,1925,2015,30288_2015
30288,9261,37.6,52368,20258,1291,2016,30288_2016
30288,9467,38.7,51639,20948,1085,2017,30288_2017
30288,9230,41.4,54365,22448,1132,2018,30288_2018
30288,8749,42,54002,22476,1151,2019,30288_2019
30289,52,57.5,55313,23450,0,2013,30289_2013
30289,68,61.5,26500,20141,5,2014,30289_2014
30289,63,63.5,25625,16537,5,2015,30289_2015
30289,59,63.6,25000,16507,5,2016,30289_2016
30289,38,67,22250,21897,4,2017,30289_2017
30289,276,35.2,153452,36223,10,2018,30289_2018
30289,52,27.3,78000,26412,11,2019,30289_2019
30290,8400,40.8,86627,36658,628,2013,30290_2013
30290,8515,40.6,85383,35136,976,2014,30290_2014
30290,8769,43,87755,36702,859,2015,30290_2015
30290,8734,40.1,89672,36367,795,2016,30290_2016
30290,8801,41.1,87500,38249,804,2017,30290_2017
30290,8677,40,94769,39682,606,2018,30290_2018
30290,8798,43.7,106307,43505,377,2019,30290_2019
30291,21147,31.4,36355,18192,5549,2013,30291_2013
30291,21563,30.6,35052,16760,5803,2014,30291_2014
30291,21951,30.4,36022,16992,6040,2015,30291_2015
30291,22099,31,35945,17792,4797,2016,30291_2016
30291,21121,32,36147,17689,4947,2017,30291_2017
30291,21399,32.2,37357,19080,4125,2018,30291_2018
30291,21639,31.6,43337,20557,3499,2019,30291_2019
30294,38015,35.2,56577,23748,4540,2013,30294_2013
30294,38575,36.1,57944,24756,4743,2014,30294_2014
30294,41026,36.1,59539,24716,4691,2015,30294_2015
30294,40317,36.2,61879,25612,4804,2016,30294_2016
30294,40932,36.5,63411,26503,4093,2017,30294_2017
30294,41782,36.9,65446,27837,3351,2018,30294_2018
30294,42484,38,64044,26972,4333,2019,30294_2019
30296,26587,34.2,50810,19877,4645,2013,30296_2013
30296,26830,35.3,50371,20281,4736,2014,30296_2014
30296,27029,34.7,49637,20600,4981,2015,30296_2015
30296,28258,35.1,51999,21181,5043,2016,30296_2016
30296,28467,35.1,52598,21511,4646,2017,30296_2017
30296,28671,35.5,54273,22412,5011,2018,30296_2018
30296,28169,35.1,57676,23944,4212,2019,30296_2019
30297,27678,29.9,30598,12244,9693,2013,30297_2013
30297,27838,29.4,30750,12497,9503,2014,30297_2014
30297,27518,29.3,31465,12652,9198,2015,30297_2015
30297,27580,30.2,31211,13354,9126,2016,30297_2016
30297,28105,30.5,33565,14903,8484,2017,30297_2017
30297,28077,30,34295,15362,7650,2018,30297_2018
30297,28966,30.4,36480,15459,7251,2019,30297_2019
30303,5001,22.8,19000,12180,1284,2013,30303_2013
30303,5582,21.9,19224,10963,1296,2014,30303_2014
30303,6279,21.7,23953,9820,1480,2015,30303_2015
30303,6577,21.7,19883,10180,1588,2016,30303_2016
30303,6714,21.9,22383,10653,1636,2017,30303_2017
30303,6719,21.8,22663,11599,1653,2018,30303_2018
30303,6628,21.8,20909,11236,1703,2019,30303_2019
30305,21262,37.7,85993,74976,1823,2013,30305_2013
30305,21574,37.9,90095,75422,1412,2014,30305_2014
30305,22318,37.5,89489,77747,1091,2015,30305_2015
30305,23064,37.5,87516,81635,1504,2016,30305_2016
30305,23842,37.1,98506,87185,1535,2017,30305_2017
30305,23693,37.5,101718,94499,2028,2018,30305_2018
30305,24551,38.5,99556,99442,2305,2019,30305_2019
30306,21262,37.6,82566,67959,1541,2013,30306_2013
30306,22195,37.5,83903,66501,1821,2014,30306_2014
30306,22329,37.6,88201,70167,1747,2015,30306_2015
30306,22347,37.3,90276,71857,1963,2016,30306_2016
30306,23299,35.7,100380,75003,2131,2017,30306_2017
30306,24112,35,104934,81647,2114,2018,30306_2018
30306,23973,35.2,108973,85547,1965,2019,30306_2019
30307,17684,35.2,76591,57430,1722,2013,30307_2013
30307,18052,34.8,79563,58923,1790,2014,30307_2014
30307,18574,34.8,78960,58931,2220,2015,30307_2015
30307,19244,35.9,80428,60241,2261,2016,30307_2016
30307,19781,36,87009,65226,2167,2017,30307_2017
30307,19652,36.8,98986,68813,2045,2018,30307_2018
30307,20036,37.4,105912,71222,1969,2019,30307_2019
30308,16434,30.2,51584,42155,3503,2013,30308_2013
30308,17238,30.7,52424,42132,3678,2014,30308_2014
30308,17097,33,57888,47244,3646,2015,30308_2015
30308,17036,33.3,56734,50112,3475,2016,30308_2016
30308,17559,33.1,59945,53887,3327,2017,30308_2017
30308,18099,33,60370,55216,3258,2018,30308_2018
30308,18839,32.6,69795,58866,3106,2019,30308_2019
30309,21074,35,71854,66311,2169,2013,30309_2013
30309,21444,35.2,71174,64904,2398,2014,30309_2014
30309,21928,34.5,74932,69181,2500,2015,30309_2015
30309,23029,34.6,78301,72597,2199,2016,30309_2016
30309,23458,34.4,82514,73481,2097,2017,30309_2017
30309,24744,34.8,88691,85424,2154,2018,30309_2018
30309,26526,34.3,92105,87854,2289,2019,30309_2019
30310,27775,36.6,22861,14667,10632,2013,30310_2013
30310,28660,37.7,24664,14564,10302,2014,30310_2014
30310,29152,36.7,25886,15282,10279,2015,30310_2015
30310,30314,35,25953,15225,10433,2016,30310_2016
30310,30547,35.1,28333,18291,9687,2017,30310_2017
30310,29658,35,31490,21556,8437,2018,30310_2018
30310,28664,34.9,34398,22635,7231,2019,30310_2019
30311,36074,36.4,27651,17213,12957,2013,30311_2013
30311,36381,36.2,26665,16848,13385,2014,30311_2014
30311,36001,35.5,25880,16595,13754,2015,30311_2015
30311,36789,36.4,26047,17214,13917,2016,30311_2016
30311,36308,37.5,27540,18141,12564,2017,30311_2017
30311,36839,37.6,29153,20623,12188,2018,30311_2018
30311,36389,38.6,31512,23366,11878,2019,30311_2019
30312,19644,32.7,39105,30162,5743,2013,30312_2013
30312,20264,33.2,39653,29499,6248,2014,30312_2014
30312,22078,33,42169,31016,6340,2015,30312_2015
30312,22464,33.9,43067,32615,6356,2016,30312_2016
30312,21731,34.1,48802,37341,5613,2017,30312_2017
30312,22275,33.9,52003,40164,5436,2018,30312_2018
30312,24782,33.1,57740,42424,6149,2019,30312_2019
30313,9489,21.2,39670,15706,1355,2013,30313_2013
30313,9590,21.5,39583,15189,1534,2014,30313_2014
30313,10893,21.3,39427,14574,1758,2015,30313_2015
30313,11031,21.2,42128,14174,1783,2016,30313_2016
30313,11379,21.2,50172,15675,1986,2017,30313_2017
30313,11529,21.1,54469,16308,2076,2018,30313_2018
30313,11415,21.1,60906,18871,1720,2019,30313_2019
30314,21045,27.5,23649,12934,5551,2013,30314_2013
30314,21226,27,22900,12683,6071,2014,30314_2014
30314,23468,27.7,25373,13398,6115,2015,30314_2015
30314,23450,26.2,25196,12981,6560,2016,30314_2016
30314,25142,25.7,25920,13178,6776,2017,30314_2017
30314,24446,25.5,26752,13397,6892,2018,30314_2018
30314,24974,25.6,28148,14262,6858,2019,30314_2019
30315,33248,34.2,20951,14821,13467,2013,30315_2013
30315,34159,34.1,21280,15093,13408,2014,30315_2014
30315,33461,34.4,21210,15428,13042,2015,30315_2015
30315,33710,34,23665,16250,12659,2016,30315_2016
30315,34973,33.6,27525,17345,11672,2017,30315_2017
30315,35511,33.4,28249,20685,11599,2018,30315_2018
30315,35143,33,29287,22214,12080,2019,30315_2019
30316,30700,36.4,44129,26437,6251,2013,30316_2013
30316,31438,35.7,46977,27090,6167,2014,30316_2014
30316,31648,36.1,49516,27830,6208,2015,30316_2015
30316,31654,35.3,55469,31759,5527,2016,30316_2016
30316,33286,35.5,62299,34685,4948,2017,30316_2017
30316,33172,35.4,66880,37479,5024,2018,30316_2018
30316,33670,35.5,72143,43505,4754,2019,30316_2019
30317,11787,36.6,50548,30618,2029,2013,30317_2013
