Zipcode,City,GeoCode,County,State,Metro,Column6
30060,Atlanta Naval Air Station,770/678/470,Cobb County,Georgia - GA,"Atlanta,GA (0520)",MSA
30060,Dobbins A F B,770/678/470,Cobb County,Georgia - GA,"Atlanta,GA (0520)",MSA
30060,Dobbins Air Force Base,770/678/470,Cobb County,Georgia - GA,"Atlanta,GA (0520)",MSA
30060,Marietta,770/678/470,Cobb County,Georgia - GA,"Atlanta,GA (0520)",MSA
30061,Marietta,770/678/470,Cobb County,Georgia - GA,"Atlanta,GA (0520)",MSA
30062,Marietta,770/678/470,Cobb County,Georgia - GA,"Atlanta,GA (0520)",MSA
30063,Lockheed,770/678/470,Cobb County,Georgia - GA,"Atlanta,GA (0520)",MSA
30063,Marietta,770/678/470,Cobb County,Georgia - GA,"Atlanta,GA (0520)",MSA
30064,Marietta,770/678/470,Cobb County,Georgia - GA,"Atlanta,GA (0520)",MSA
30065,Mar,770/678/470,Cobb County,Georgia - GA,"Atlanta,GA (0520)",MSA
30065,Marietta,770/678/470,Cobb County,Georgia - GA,"Atlanta,GA (0520)",MSA
30065,Mreta,770/678/470,Cobb County,Georgia - GA,"Atlanta,GA (0520)",MSA
30066,Marietta,770/678/470,Cobb County,Georgia - GA,"Atlanta,GA (0520)",MSA
30067,Marietta,770/678/470,Cobb County,Georgia - GA,"Atlanta,GA (0520)",MSA
30068,Marietta,770/678/470,Cobb County,Georgia - GA,"Atlanta,GA (0520)",MSA
30069,Dobbins AFB,770/678/470,Cobb County,Georgia - GA,"Atlanta,GA (0520)",MSA
30069,Dobbins Air Force Base,770/678/470,Cobb County,Georgia - GA,"Atlanta,GA (0520)",MSA
30069,Marietta,770/678/470,Cobb County,Georgia - GA,"Atlanta,GA (0520)",MSA
30070,Porterdale,770/678/470,Newton County,Georgia - GA,"Atlanta,GA (0520)",MSA
30071,Norcross,770/678/470,Gwinnett County,Georgia - GA,"Atlanta,GA (0520)",MSA
30072,Pine Lake,404/678/470,DeKalb County,Georgia - GA,"Atlanta,GA (0520)",MSA
30074,Redan,770/678/470,DeKalb County,Georgia - GA,"Atlanta,GA (0520)",MSA
30075,Roswell,770/678/470,Fulton County,Georgia - GA,"Atlanta,GA (0520)",MSA
30075,Sandy Plns,770/678/470,Fulton County,Georgia - GA,"Atlanta,GA (0520)",MSA
30076,Roswell,770/678/470,Fulton County,Georgia - GA,"Atlanta,GA (0520)",MSA
30077,Roswell,770/678/470,Fulton County,Georgia - GA,"Atlanta,GA (0520)",MSA
30078,Snellville,770/678/470,Gwinnett County,Georgia - GA,"Atlanta,GA (0520)",MSA
30079,Scottdale,404/678/470,DeKalb County,Georgia - GA,"Atlanta,GA (0520)",MSA
30080,Smyrna,770/678/470,Cobb County,Georgia - GA,"Atlanta,GA (0520)",MSA
30081,Smyrna,770/678/470,Cobb County,Georgia - GA,"Atlanta,GA (0520)",MSA
30082,Smyrna,770/678/470,Cobb County,Georgia - GA,"Atlanta,GA (0520)",MSA
30083,Memorial Square,770/678/470,DeKalb County,Georgia - GA,"Atlanta,GA (0520)",MSA
30083,Saint Mountain,770/678/470,DeKalb County,Georgia - GA,"Atlanta,GA (0520)",MSA
30083,Stone Mountain,770/678/470,DeKalb County,Georgia - GA,"Atlanta,GA (0520)",MSA
30084,Tucker,770/678/470,DeKalb County,Georgia - GA,"Atlanta,GA (0520)",MSA
30085,Tucker,770/678/470,DeKalb County,Georgia - GA,"Atlanta,GA (0520)",MSA
30086,Saint Mountain,770/678/470,DeKalb County,Georgia - GA,"Atlanta,GA (0520)",MSA
30086,Stone Mountain,770/678/470,DeKalb County,Georgia - GA,"Atlanta,GA (0520)",MSA
30087,Smoke Rise,770/678/470,DeKalb County,Georgia - GA,"Atlanta,GA (0520)",MSA
30087,Stone Mountain,770/678/470,DeKalb County,Georgia - GA,"Atlanta,GA (0520)",MSA
30088,Stone Mountain,770/678/470,DeKalb County,Georgia - GA,"Atlanta,GA (0520)",MSA
30090,Marietta,770/678/470,Cobb County,Georgia - GA,"Atlanta,GA (0520)",MSA
30091,Norcross,770/678/470,Gwinnett County,Georgia - GA,"Atlanta,GA (0520)",MSA
30092,Berkeley Lake,770/678/470,Gwinnett County,Georgia - GA,"Atlanta,GA (0520)",MSA
30092,Norcross,770/678/470,Gwinnett County,Georgia - GA,"Atlanta,GA (0520)",MSA
30092,Parkway,770/678/470,Gwinnett County,Georgia - GA,"Atlanta,GA (0520)",MSA
30092,Peachtree Corners,770/678/470,Gwinnett County,Georgia - GA,"Atlanta,GA (0520)",MSA
30093,Norcross,770/678/470,Gwinnett County,Georgia - GA,"Atlanta,GA (0520)",MSA
30093,Rockbridge,770/678/470,Gwinnett County,Georgia - GA,"Atlanta,GA (0520)",MSA
30094,Conyers,770/678/470,Rockdale County,Georgia - GA,"Atlanta,GA (0520)",MSA
30095,Duluth,770/678/470,Gwinnett County,Georgia - GA,"Atlanta,GA (0520)",MSA
30096,Berkeley Lake,770/678/470,Gwinnett County,Georgia - GA,"Atlanta,GA (0520)",MSA
30096,Duluth,770/678/470,Gwinnett County,Georgia - GA,"Atlanta,GA (0520)",MSA
30097,Duluth,770/678/470,Fulton County,Georgia - GA,"Atlanta,GA (0520)",MSA
30097,Johns Creek,770/678/470,Fulton County,Georgia - GA,"Atlanta,GA (0520)",MSA
30098,Duluth,770/678/470,Gwinnett County,Georgia - GA,"Atlanta,GA (0520)",MSA
30098,State Farm Insurance Co,770/678/470,Gwinnett County,Georgia - GA,"Atlanta,GA (0520)",MSA
30099,Duluth,770/678/470,Gwinnett County,Georgia - GA,"Atlanta,GA (0520)",MSA
30099,Primerica Financial Services,770/678/470,Gwinnett County,Georgia - GA,"Atlanta,GA (0520)",MSA
30101,Acworth,770/678/470,Cobb County,Georgia - GA,"Atlanta,GA (0520)",MSA
30101,Oak Grove,770/678/470,Cobb County,Georgia - GA,"Atlanta,GA (0520)",MSA
30102,Acworth,770/678/470,Cherokee County,Georgia - GA,"Atlanta,GA (0520)",MSA
30103,Adairsville,770/678/470,Bartow County,Georgia - GA,"Atlanta,GA (0520)",MSA
30106,Austell,770/678/470,Cobb County,Georgia - GA,"Atlanta,GA (0520)",MSA
30107,Ball Ground,770/678/470,Cherokee County,Georgia - GA,"Atlanta,GA (0520)",MSA
30108,Bowdon,770/678/470,Carroll County,Georgia - GA,"Atlanta,GA (0520)",MSA
30109,Bowdon Jct,770/678/470,Carroll County,Georgia - GA,"Atlanta,GA (0520)",MSA
30109,Bowdon Junction,770/678/470,Carroll County,Georgia - GA,"Atlanta,GA (0520)",MSA
30111,Clarkdale,770/678/470,Cobb County,Georgia - GA,"Atlanta,GA (0520)",MSA
30112,Carrollton,770/678/470,Carroll County,Georgia - GA,"Atlanta,GA (0520)",MSA
30114,Canton,770/678/470,Cherokee County,Georgia - GA,"Atlanta,GA (0520)",MSA
30114,Holly Springs,770/678/470,Cherokee County,Georgia - GA,"Atlanta,GA (0520)",MSA
30115,Canton,770/678/470,Cherokee County,Georgia - GA,"Atlanta,GA (0520)",MSA
30115,Holly Springs,770/678/470,Cherokee County,Georgia - GA,"Atlanta,GA (0520)",MSA
30116,Carrollton,770/678/470,Carroll County,Georgia - GA,"Atlanta,GA (0520)",MSA
30117,Carrollton,770/678/470,Carroll County,Georgia - GA,"Atlanta,GA (0520)",MSA
30117,University of West Georgia,770/678/470,Carroll County,Georgia - GA,"Atlanta,GA (0520)",MSA
30118,Carrollton,770/678/470,Carroll County,Georgia - GA,"Atlanta,GA (0520)",MSA
30118,University of West Georgia,770/678/470,Carroll County,Georgia - GA,"Atlanta,GA (0520)",MSA
30119,Carrollton,770/678/470,Carroll County,Georgia - GA,"Atlanta,GA (0520)",MSA
30119,Southwire,770/678/470,Carroll County,Georgia - GA,"Atlanta,GA (0520)",MSA
30120,Cartersville,770/678/470,Bartow County,Georgia - GA,"Atlanta,GA (0520)",MSA
30120,Euharlee,770/678/470,Bartow County,Georgia - GA,"Atlanta,GA (0520)",MSA
30120,North Corners,770/678/470,Bartow County,Georgia - GA,"Atlanta,GA (0520)",MSA
30121,Cartersville,770/678/470,Bartow County,Georgia - GA,"Atlanta,GA (0520)",MSA
30122,Lithia Springs,770/678/470,Douglas County,Georgia - GA,"Atlanta,GA (0520)",MSA
30123,Cassville,770/678/470,Bartow County,Georgia - GA,"Atlanta,GA (0520)",MSA
30126,Mableton,770/678/470,Cobb County,Georgia - GA,"Atlanta,GA (0520)",MSA
30127,Powder Springs,770/678/470,Cobb County,Georgia - GA,"Atlanta,GA (0520)",MSA
30132,Dallas,770/678/470,Paulding County,Georgia - GA,"Atlanta,GA (0520)",MSA
30133,Douglasville,770/678/470,Douglas County,Georgia - GA,"Atlanta,GA (0520)",MSA
30134,Douglasville,770/678/470,Douglas County,Georgia - GA,"Atlanta,GA (0520)",MSA
30135,Douglasville,770/678/470,Douglas County,Georgia - GA,"Atlanta,GA (0520)",MSA
30137,Emerson,770/678/470,Bartow County,Georgia - GA,"Atlanta,GA (0520)",MSA
30141,Hiram,770/678/470,Paulding County,Georgia - GA,"Atlanta,GA (0520)",MSA
30142,Holly Springs,770/678/470,Cherokee County,Georgia - GA,"Atlanta,GA (0520)",MSA
30143,Big Canoe,706/762,Pickens County,Georgia - GA,"Atlanta,GA (0520)",MSA
30143,Jasper,706/762,Pickens County,Georgia - GA,"Atlanta,GA (0520)",MSA
30144,Barrett Parkway,770/678/470,Cobb County,Georgia - GA,"Atlanta,GA (0520)",MSA
30144,Kennesaw,770/678/470,Cobb County,Georgia - GA,"Atlanta,GA (0520)",MSA
30145,Euharlee,770/678/470,Bartow County,Georgia - GA,"Atlanta,GA (0520)",MSA
30145,Kingston,770/678/470,Bartow County,Georgia - GA,"Atlanta,GA (0520)",MSA
30146,Lebanon,770/678/470,Cherokee County,Georgia - GA,"Atlanta,GA (0520)",MSA
30148,Marble Hill,770/678/470,Pickens County,Georgia - GA,"Atlanta,GA (0520)",MSA
30148,Marblehill,770/678/470,Pickens County,Georgia - GA,"Atlanta,GA (0520)",MSA
30150,Mount Zion,770/678/470,Carroll County,Georgia - GA,"Atlanta,GA (0520)",MSA
30151,Nelson,770/678/470,Cherokee County,Georgia - GA,"Atlanta,GA (0520)",MSA
30152,Kennesaw,770/678/470,Cobb County,Georgia - GA,"Atlanta,GA (0520)",MSA
30154,Douglasville,770/678/470,Douglas County,Georgia - GA,"Atlanta,GA (0520)",MSA
30156,Kennesaw,770/678/470,Cobb County,Georgia - GA,"Atlanta,GA (0520)",MSA
30157,Dallas,770/678/470,Paulding County,Georgia - GA,"Atlanta,GA (0520)",MSA
30160,Kennesaw,770/678/470,Cobb County,Georgia - GA,"Atlanta,GA (0520)",MSA
30168,Austell,770/678/470,Cobb County,Georgia - GA,"Atlanta,GA (0520)",MSA
30169,Canton,770/678/470,Cherokee County,Georgia - GA,"Atlanta,GA (0520)",MSA
30170,Ephesus,770/678/470,Carroll County,Georgia - GA,"Atlanta,GA (0520)",MSA
30170,Roopville,770/678/470,Carroll County,Georgia - GA,"Atlanta,GA (0520)",MSA
30171,Rydal,770/678/470,Bartow County,Georgia - GA,"Atlanta,GA (0520)",MSA
30175,Talking Rock,706/762,Pickens County,Georgia - GA,"Atlanta,GA (0520)",MSA
30175,White Stone,706/762,Pickens County,Georgia - GA,"Atlanta,GA (0520)",MSA
30177,Tate,770/678/470,Pickens County,Georgia - GA,"Atlanta,GA (0520)",MSA
30178,Taylorsville,770/678/470,Bartow County,Georgia - GA,"Atlanta,GA (0520)",MSA
30179,Temple,770/678/470,Carroll County,Georgia - GA,"Atlanta,GA (0520)",MSA
30180,Villa Rica,770/678/470,Carroll County,Georgia - GA,"Atlanta,GA (0520)",MSA
30183,Lake Arrowhead,770/678/470,Cherokee County,Georgia - GA,"Atlanta,GA (0520)",MSA
30183,Waleska,770/678/470,Cherokee County,Georgia - GA,"Atlanta,GA (0520)",MSA
30184,White,770/678/470,Bartow County,Georgia - GA,"Atlanta,GA (0520)",MSA
30185,Whitesburg,770/678/470,Carroll County,Georgia - GA,"Atlanta,GA (0520)",MSA
30187,Winston,770/678/470,Douglas County,Georgia - GA,"Atlanta,GA (0520)",MSA
30188,Holly Springs,770/678/470,Cherokee County,Georgia - GA,"Atlanta,GA (0520)",MSA
30188,Woodstock,770/678/470,Cherokee County,Georgia - GA,"Atlanta,GA (0520)",MSA
30189,Woodstock,770/678/470,Cherokee County,Georgia - GA,"Atlanta,GA (0520)",MSA
30205,Brooks,770/678/470,Fayette County,Georgia - GA,"Atlanta,GA (0520)",MSA
30212,Experiment,770/678/470,Spalding County,Georgia - GA,"Atlanta,GA (0520)",MSA
30213,Fairburn,770/678/470,Fulton County,Georgia - GA,"Atlanta,GA (0520)",MSA
30214,Fayetteville,770/678/470,Fayette County,Georgia - GA,"Atlanta,GA (0520)",MSA
30214,Woolsey,770/678/470,Fayette County,Georgia - GA,"Atlanta,GA (0520)",MSA
30215,Fayetteville,770/678/470,Fayette County,Georgia - GA,"Atlanta,GA (0520)",MSA
