Zipcode,Population,Median Age,Household Income,Per Capita Income,Poverty Count
08270,8792.0,39.7,67439.0,25428.0,1248.0
08302,46620.0,34.7,49343.0,19985.0,9089.0
08310,2041.0,51.3,40147.0,24402.0,246.0
08311,2094.0,41.1,60347.0,25085.0,376.0
08312,7896.0,36.8,63417.0,28395.0,691.0
08314,3251.0,35.2,68327.0,8541.0,53.0
08316,391.0,34.3,43950.0,23876.0,7.0
08317,1453.0,40.5,76250.0,31095.0,106.0
08318,12171.0,43.6,70032.0,31553.0,908.0
08319,1216.0,44.5,82692.0,32059.0,27.0
08320,1304.0,35.3,-666666666.0,8644.0,0.0
08321,124.0,68.1,30833.0,28564.0,17.0
08322,10338.0,40.2,79386.0,31869.0,632.0
08323,953.0,49.2,63438.0,31800.0,87.0
08324,450.0,49.2,71146.0,28952.0,71.0
08326,1843.0,35.2,66477.0,27102.0,112.0
08327,2235.0,36.6,61094.0,11377.0,60.0
08328,1684.0,42.0,50028.0,22481.0,165.0
08329,72.0,58.7,66360.0,48222.0,11.0
08330,28501.0,38.3,60691.0,26879.0,3161.0
08332,37452.0,37.0,51211.0,24029.0,6348.0
08340,732.0,42.8,94083.0,37442.0,16.0
08341,1940.0,42.0,34670.0,22846.0,160.0
08343,5755.0,40.2,89423.0,31273.0,376.0
08344,5243.0,42.6,68555.0,28845.0,447.0
08345,686.0,52.9,46184.0,25476.0,109.0
08346,983.0,40.1,37500.0,16550.0,384.0
08348,233.0,71.6,34545.0,22618.0,0.0
08349,2627.0,36.9,49214.0,21029.0,446.0
08350,890.0,33.8,58782.0,31289.0,39.0
08352,568.0,47.9,75089.0,25041.0,51.0
08353,579.0,41.1,78036.0,30325.0,51.0
08360,44226.0,36.1,46862.0,21978.0,7938.0
08361,17299.0,43.9,70771.0,32230.0,2179.0
08401,39521.0,37.0,26936.0,18282.0,14034.0
08402,6343.0,59.8,65568.0,51880.0,591.0
08403,1048.0,63.2,85500.0,70550.0,35.0
08406,10632.0,44.8,50129.0,29491.0,1761.0
08501,6406.0,46.5,110000.0,45950.0,51.0
08502,11587.0,40.5,157583.0,58409.0,167.0
08505,17637.0,39.9,86087.0,39233.0,523.0
08510,4731.0,45.0,122500.0,46870.0,188.0
08511,775.0,41.2,90313.0,38009.0,0.0
08512,10569.0,41.2,84366.0,45598.0,579.0
08514,5073.0,38.5,85478.0,37561.0,249.0
08515,7135.0,29.3,121979.0,34681.0,85.0
08518,5123.0,42.2,66500.0,34386.0,228.0
08520,27653.0,38.2,88167.0,36797.0,2395.0
08525,4916.0,48.6,132407.0,63331.0,58.0
08527,55285.0,42.1,87426.0,36025.0,2880.0
08528,157.0,48.4,59219.0,50871.0,0.0
08530,7349.0,45.5,92581.0,50795.0,294.0
08533,6501.0,43.5,85893.0,32747.0,507.0
08534,13328.0,44.6,134660.0,68652.0,258.0
08535,5828.0,45.3,152481.0,61725.0,120.0
08536,19889.0,34.6,87364.0,46594.0,853.0
08540,48300.0,38.1,128822.0,63506.0,1994.0
08542,4740.0,27.2,84598.0,38985.0,251.0
08550,19510.0,43.6,180120.0,73558.0,985.0
08551,5019.0,44.3,109761.0,55850.0,170.0
08553,554.0,50.2,95625.0,58367.0,27.0
08554,4007.0,40.1,76250.0,31684.0,151.0
08555,739.0,38.3,76250.0,30369.0,76.0
08558,6680.0,44.4,166250.0,69256.0,189.0
08559,5272.0,48.2,111758.0,58249.0,67.0
08560,3788.0,45.5,135192.0,61449.0,244.0
08561,16.0,-666666666.0,-666666666.0,,0.0
08562,5313.0,34.2,66056.0,28864.0,378.0
08608,813.0,37.6,13395.0,12450.0,423.0
08609,14392.0,33.3,27114.0,14369.0,5025.0
08610,29127.0,38.9,59740.0,27878.0,3148.0
08611,26987.0,33.1,38186.0,16364.0,6539.0
